LEVEL, NAME, RECIPE, GARNISH
1, chocolate bombe, biscuit; butter; chocolate, chocolate
1, chocolate chip scones, chocolate; pastry, fruit
1, crumpets, butter; eggs; flour, jam
1, fondant fancies, icing; sponge, chocolate
1, millionaire's shortbread, biscuit; butter; chocolate; sugar,
1, pistachio ganache macarons, biscuit; chocolate,
1, raspberry pavlova, eggs; fruit; sugar,
1, shortbread biscuits, biscuit; icing,
2, bakewell slice, icing; jam; pastry,
2, chocolate tea cake, biscuit; chocolate; fruit, chocolate
2, custard tart, crème pât; pastry, fruit
2, fruit tart, crème pât; fruit; pastry,
2, jaffa cakes, chocolate; jam; sponge,
2, lemon drizzle cake, fruit; icing; sponge, fruit
2, mille feuille, crème pât; fruit; pastry, fruit
2, profiteroles, chocolate; crème pât; pastry,
2, swiss roll, jam; sponge,
3, almond & chocolate torte, chocolate; icing; sponge, chocolate
3, cocoa crème doughnuts, chocolate; crème pât; sponge; chocolate
3, danish pastries, crème pât; icing; pastry, fruit
3, empire biscuit, biscuit; fruit; icing; jam,
3, frasier cake, crème pât; icing; sponge, fruit
3, old fashioned trifle, crème pât; jam; sponge, fruit
3, showstopper cake (2 tiered), icing; sponge; sponge, chocolate; fruit
3, viennese whirls, biscuit, icing; jam